#systemNo 	 dt_true 	 dt_fit 
14485178 	 11.904629 	 12.389943
25739652 	 19.330746 	 19.999600
30168511 	 13.882027 	 13.636053
30484845 	 16.324499 	 15.989778
31999299 	 10.988325 	 10.835755
33603471 	 47.921368 	 47.805998
36126318 	 10.520587 	 10.265785
37790873 	 13.964194 	 14.322679
39087310 	 25.396588 	 25.799172
40221141 	 42.099531 	 42.148347
44994746 	 16.663513 	 17.277425
46459738 	 15.402554 	 12.727994
47725481 	 39.800098 	 39.555636
51127319 	 15.585945 	 15.693099
53345196 	 11.320505 	 13.613849
55281814 	 12.289364 	 11.412216
59593933 	 18.162560 	 16.502771
61550746 	 41.392182 	 41.748360
62250655 	 21.280523 	 21.660905
70776641 	 21.645390 	 22.243553
70861347 	 32.807975 	 33.260047
71488663 	 10.788328 	 11.692219
76226169 	 10.215522 	 8.836656
76277223 	 11.954220 	 10.141913
77272711 	 10.892283 	 11.189734
81741581 	 38.840946 	 38.888029
82320026 	 10.138578 	 12.023134
93507840 	 16.586913 	 16.523570
94866642 	 11.563159 	 12.533880
95598133 	 12.610509 	 12.507371
96069612 	 16.911647 	 16.811519
96640307 	 44.736525 	 45.115557
98361511 	 14.177286 	 15.433199
